Unnamed: 0,season,first_name,last_name,position,origin,originNIL,destination,destinationNIL,transfer_date,rating,stars,eligibility,Total Support_x,Ticket Sales_x,Contributions_x,Conf_x,School_x,Total Support_y,Ticket Sales_y,Contributions_y,Conf_y,School_y,Total Support,Ticket Sales,Contributions,Conf,School
66,2021,Nigel,Knott,CB,East Carolina,"$2,887,971",Ole Miss, CHECK FOR NAME ,2020-12-12T00:00:00.000Z,,4,TBD,"17,571,910","5,807,897","11,764,013",American,East Carolina,"17,571,910","5,807,897","11,764,013",American,East Carolina,,,,,
67,2021,Antonio,Greer,DL,Navy,,none, none ,2021-06-15T00:00:00.000Z,,0,Immediate,,,,,,,,,,,,,,,
68,2021,Cameron,Threatt,CB,Mississippi State,,none, none ,2021-06-15T00:00:00.000Z,,3,Immediate,,,,,,,,,,,,,,,
69,2021,Derrion,Clark,LB,Arizona,"$6,414,683",none, none ,2021-06-15T00:00:00.000Z,,3,Immediate,"39,030,243","19,164,426","19,865,817",Big 12,Arizona,"39,030,243","19,164,426","19,865,817",Big 12,Arizona,,,,,
70,2021,Trevor,Willard,EDGE,Appalachian State,"$1,925,394",Winston-Salem State, CHECK FOR NAME ,2021-06-14T00:00:00.000Z,,3,Immediate,"11,715,090","5,407,791","6,307,299",Sun Belt,Appalachian State,"11,715,090","5,407,791","6,307,299",Sun Belt,Appalachian State,,,,,
71,2021,Ross,Bowers,QB,Northern Illinois,"$506,195",none, none ,2021-06-11T00:00:00.000Z,,3,Immediate,"3,079,952","495,563","2,584,389",MAC,Northern Illinois,"3,079,952","495,563","2,584,389",MAC,Northern Illinois,,,,,
72,2021,Lorenzo,Burkes,RB,San José State,,none, none ,2021-06-11T00:00:00.000Z,,2,Immediate,,,,,,,,,,,,,,,
73,2021,David,Alston,LB,Nebraska,"$7,973,918",none, none ,2021-06-11T00:00:00.000Z,,3,Immediate,"48,517,435","38,946,701","9,570,734",Big Ten,Nebraska,"48,517,435","38,946,701","9,570,734",Big Ten,Nebraska,,,,,
74,2021,Robert,Cooper,DL,Boise State,"$2,765,657",Eastern Washington, CHECK FOR NAME ,2021-06-10T00:00:00.000Z,,3,Immediate,"16,827,686","7,226,105","9,601,581",MW,Boise State,"16,827,686","7,226,105","9,601,581",MW,Boise State,,,,,
75,2021,Tairiq,Stewart,IOL,West Virginia,"$5,495,362",none, none ,2021-06-10T00:00:00.000Z,,3,Immediate,"33,436,624","18,763,866","14,672,758",Big 12,West Virginia,"33,436,624","18,763,866","14,672,758",Big 12,West Virginia,,,,,
76,2021,Caleb,Roberson,CB,Wyoming,"$2,426,393",none, none ,2021-06-10T00:00:00.000Z,,3,Immediate,"14,763,429","4,084,611","10,678,818",MW,Wyoming,"14,763,429","4,084,611","10,678,818",MW,Wyoming,,,,,
77,2021,Freddie,Hartz,DL,Southern Mississippi,"$1,500,334",none, none ,2021-06-10T00:00:00.000Z,,3,Immediate,"9,128,806","3,324,383","5,804,423",Sun Belt,Southern Mississippi,"9,128,806","3,324,383","5,804,423",Sun Belt,Southern Mississippi,,,,,
78,2021,Max,Saylor,DL,Central Michigan,,none, none ,2021-06-09T00:00:00.000Z,,2,Immediate,"3,321,120","682,078","2,639,042",MAC,Central Michigan,"3,321,120","682,078","2,639,042",MAC,Central Michigan,,,,,
79,2021,Jay,Brunelle,WR,Notre Dame,,none, none ,2021-06-09T00:00:00.000Z,,3,Immediate,,,,,,,,,,,,,,,
80,2021,Chris,Mills,CB,Missouri,"$7,146,859",Texas State," $599,058.00 ",2021-06-09T00:00:00.000Z,,3,Immediate,"43,485,183","13,929,479","29,555,704",SEC,Missouri,"43,485,183","13,929,479","29,555,704",SEC,Missouri,"3,644,980","1,191,968","2,453,012",Sun Belt,Texas State
81,2021,Desean,Boyd,LB,Eastern Michigan,,none, none ,2021-06-09T00:00:00.000Z,,2,Immediate,"3,952,951","771,271","3,181,680",MAC,Eastern Michigan,"3,952,951","771,271","3,181,680",MAC,Eastern Michigan,,,,,
82,2021,Jamire,Calvin,WR,Washington State,"$3,216,991",Mississippi State, CHECK FOR NAME ,2021-06-08T00:10:00.000Z,,4,Immediate,"19,573,838","9,299,636","10,274,202",Pac-12,Washington State,"19,573,838","9,299,636","10,274,202",Pac-12,Washington State,,,,,
83,2021,Jamel,Starks,CB,Louisville,"$9,443,439",none, none ,2021-06-07T00:00:00.000Z,,3,Immediate,"57,458,760","27,045,669","30,413,091",ACC,Louisville,"57,458,760","27,045,669","30,413,091",ACC,Louisville,,,,,
84,2021,Brian,Thomas,OT,Memphis,"$2,634,877",none, none ,2021-06-07T00:00:00.000Z,,3,Immediate,"16,031,952","10,253,609","5,778,343",American,Memphis,"16,031,952","10,253,609","5,778,343",American,Memphis,,,,,
85,2021,Davion,Tyson,LB,Ball State,"$341,183",none, none ,2021-06-07T00:00:00.000Z,,2,Immediate,"2,075,931","795,202","1,280,729",MAC,Ball State,"2,075,931","795,202","1,280,729",MAC,Ball State,,,,,
86,2021,Sam,Noyer,QB,Colorado,"$5,337,719",Oregon State, CHECK FOR NAME ,2021-06-07T00:00:00.000Z,,3,Immediate,"32,477,439","19,175,198","13,302,241",Big 12,Colorado,"32,477,439","19,175,198","13,302,241",Big 12,Colorado,"19,247,899","9,447,886","9,800,013",Pac-12,Oregon State
87,2021,Kyle,Edwards,RB,Alabama,"$15,995,406",none, none ,2021-06-05T00:00:00.000Z,,3,Immediate,"97,324,316","44,211,016","53,113,300",SEC,Alabama,"97,324,316","44,211,016","53,113,300",SEC,Alabama,,,,,
88,2021,Jalen,Knox,WR,Missouri,"$7,146,859",none, none ,2021-06-04T00:00:00.000Z,,3,Immediate,"43,485,183","13,929,479","29,555,704",SEC,Missouri,"43,485,183","13,929,479","29,555,704",SEC,Missouri,,,,,
89,2021,Chace,Davis,DL,Nevada,"$2,000,558",none, none ,2021-06-03T00:00:00.000Z,,3,Immediate,"12,172,431","7,325,678","4,846,753",MW,Nevada,"12,172,431","7,325,678","4,846,753",MW,Nevada,,,,,
90,2021,Lovie,Jenkins,S,Louisville,"$9,443,439",none, none ,2021-06-03T00:00:00.000Z,,3,Immediate,"57,458,760","27,045,669","30,413,091",ACC,Louisville,"57,458,760","27,045,669","30,413,091",ACC,Louisville,,,,,
91,2021,Tate,Haynes,CB,Boston College,,none, none ,2021-06-03T00:00:00.000Z,,3,Immediate,,,,,,,,,,,,,,,
92,2021,Ronnie,Blackmon,WR,Toledo,"$928,243",none, none ,2021-06-02T00:00:00.000Z,,3,Immediate,"5,647,912","1,933,429","3,714,483",MAC,Toledo,"5,647,912","1,933,429","3,714,483",MAC,Toledo,,,,,
93,2021,Rodney,Thompson,QB,Northern Illinois,"$506,195",none, none ,2021-06-02T00:00:00.000Z,,2,Immediate,"3,079,952","495,563","2,584,389",MAC,Northern Illinois,"3,079,952","495,563","2,584,389",MAC,Northern Illinois,,,,,
94,2021,Cornell,Wheeler,LB,Michigan,"$16,357,054",Kansas, CHECK FOR NAME ,2021-06-02T00:00:00.000Z,,3,Immediate,"99,524,766","55,266,135","44,258,631",Big Ten,Michigan,"99,524,766","55,266,135","44,258,631",Big Ten,Michigan,"45,195,526","17,933,864","27,261,662",Big 12,Kansas
95,2021,Will,Koch,QB,UMass,,none, none ,2021-06-02T00:00:00.000Z,,3,Immediate,,,,,,,,,,,,,,,
96,2021,Mark,Williams,CB,Eastern Illinois,,Louisiana Monroe, CHECK FOR NAME ,2021-06-01T00:00:00.000Z,,2,Immediate,,,,,,,,,,,,,,,
