Player Id,Player College GSIS,Name,Unnamed: 7,Conf,Team,#,POS,S,DEF,DEF%,RUND,PRSH,COV,DEF GRD,RUND GRD,PRSH GRD,COV.1,KEY,PEN,BP,TKL,AST,MT,STOP
122144,348639,DeMonte Capehart,clemson-tigers,ACC,CLEMSON,D19,DI,2024,246,0.0004,118,128,0,73.4,76.5,66.6,50.3,65,0-0,2,18,6,0,12
170005,412112,Dee Crayton,clemson-tigers,ACC,CLEMSON,D22,LB,2024,154,0.0002,67,24,63,57.6,68.0,65.6,47.6,41,1-0,0,13,7,2,7
189373,431639,Drew Woodaz,clemson-tigers,ACC,CLEMSON,D13,LB,2024,14,0.0,11,1,2,43.9,42.3,58.4,60.6,4,0-0,0,0,1,1,0
189362,431620,Hevin Brown-Shuler,clemson-tigers,ACC,CLEMSON,D42,DI,2024,49,0.0001,30,19,0,54.1,55.6,53.9,,13,0-0,0,0,2,0,0
183202,358247,Jaheim Scott,clemson-tigers,ACC,CLEMSON,D96,DI,2024,14,0.0,7,7,0,48.7,45.1,64.6,,5,0-0,0,0,1,0,0
156235,400809,Jahiem Lawson,clemson-tigers,ACC,CLEMSON,D15,ED,2024,371,0.0005,144,215,12,63.3,57.6,66.1,69.8,81,2-1,1,10,8,4,8
170000,407351,Jamal Anderson,clemson-tigers,ACC,CLEMSON,D32,LB,2024,78,0.0001,48,4,26,75.6,69.8,76.3,71.3,12,0-0,0,4,3,1,3
156247,388503,Jeadyn Lukus,clemson-tigers,ACC,CLEMSON,D10,CB,2024,532,0.0008,233,3,296,67.9,58.6,56.6,71.0,59,4-0,0,31,2,5,8
183207,436389,Joe Wilkinson,clemson-tigers,ACC,CLEMSON,D31,S,2024,3,0.0,0,0,3,63.9,,,63.8,0,0-0,0,0,1,0,0
170001,407353,Khalil Barnes,clemson-tigers,ACC,CLEMSON,D07,S,2024,820,0.0012,334,21,465,60.9,61.2,48.6,62.4,85,2-0,0,48,15,11,14
156240,393313,Kobe McCloud,clemson-tigers,ACC,CLEMSON,D21,LB,2024,20,0.0,9,1,10,42.4,71.2,60.0,34.5,5,0-0,0,1,0,0,0
170033,412146,Kylen Webb,clemson-tigers,ACC,CLEMSON,D30,S,2024,25,0.0,17,0,8,72.8,67.8,,72.2,1,0-0,0,3,0,0,3
156244,393312,Kylon Griffin,clemson-tigers,ACC,CLEMSON,D18,S,2024,376,0.0006,151,1,224,61.7,54.5,58.9,64.1,25,1-0,0,24,4,6,2
162686,412139,Levi Matthews,clemson-tigers,ACC,CLEMSON,D92,ED,2024,18,0.0,11,7,0,70.6,53.4,56.9,63.9,6,0-0,0,0,0,0,0
162685,412126,Michael Mankaka,clemson-tigers,ACC,CLEMSON,D29,CB,2024,16,0.0,10,0,6,57.5,64.8,,63.8,2,1-0,0,1,0,0,0
183195,436387,Noah Dixon,clemson-tigers,ACC,CLEMSON,D27,CB,2024,6,0.0,2,0,4,63.3,60.0,,62.5,0,0-0,0,0,0,0,0
170030,431634,Patrick Swygert,clemson-tigers,ACC,CLEMSON,D97,DI,2024,2,0.0,2,0,0,50.4,56.1,,,1,0-0,0,0,0,0,0
144131,361567,Payton Page,clemson-tigers,ACC,CLEMSON,D55,DI,2024,580,0.0009,239,340,1,73.7,75.8,66.6,69.5,150,3-0,1,19,12,8,13
170034,407374,Peter Woods,clemson-tigers,ACC,CLEMSON,D11,ED,2024,395,0.0006,170,221,4,83.4,81.3,73.3,70.4,120,0-0,0,20,11,6,21
122153,348216,R.J. Mickens,clemson-tigers,ACC,CLEMSON,D09,S,2024,751,0.0011,300,12,439,87.5,69.2,57.7,89.8,79,0-0,0,56,18,11,26
183200,431629,Ricardo Jones,clemson-tigers,ACC,CLEMSON,D25,S,2024,148,0.0002,59,1,88,70.2,70.3,71.9,67.2,10,0-0,0,14,2,3,5
170002,412115,Rob Billings,clemson-tigers,ACC,CLEMSON,D14,S,2024,30,0.0,21,1,8,48.0,70.3,59.9,30.7,1,0-0,0,2,2,0,1
170009,412110,Ronan Hanafin,clemson-tigers,ACC,CLEMSON,D16,CB,2024,90,0.0001,35,7,48,55.0,46.3,61.8,57.5,11,0-0,0,5,1,1,1
183192,428308,Sammy Brown,clemson-tigers,ACC,CLEMSON,D47,LB,2024,454,0.0007,218,34,202,66.6,62.5,75.6,65.1,116,1-0,1,58,18,9,34
170015,407362,Shelton Lewis,clemson-tigers,ACC,CLEMSON,D02,CB,2024,198,0.0003,72,10,116,53.9,66.7,47.4,53.7,30,3-1,0,11,3,3,4
156246,388497,Sherrod Covil Jr.,clemson-tigers,ACC,CLEMSON,D05,CB,2024,124,0.0002,50,6,68,50.8,74.2,69.4,43.2,23,2-0,1,11,2,1,3
170008,412133,Stephiylan Green,clemson-tigers,ACC,CLEMSON,D90,DI,2024,309,0.0005,115,194,0,74.1,72.0,69.3,61.8,73,0-0,1,12,3,0,9
170021,407366,T.J. Parker,clemson-tigers,ACC,CLEMSON,D03,ED,2024,640,0.0009,251,373,16,87.4,80.8,85.0,74.0,162,2-0,0,29,13,9,36
183197,431624,Tavoy Feagin,clemson-tigers,ACC,CLEMSON,D06,S,2024,9,0.0,3,0,6,36.6,60.0,,47.2,1,1-0,0,0,0,0,0
122165,348231,Tre Williams,clemson-tigers,ACC,CLEMSON,D08,DI,2024,303,0.0004,110,193,0,66.3,61.7,68.9,60.0,71,1-0,1,9,5,1,8
122163,348230,Tyler Venables,clemson-tigers,ACC,CLEMSON,D24,S,2024,161,0.0002,55,6,100,60.1,60.2,53.9,63.4,15,1-0,0,11,2,3,5
170004,428314,Vic Burley,clemson-tigers,ACC,CLEMSON,D45,DI,2024,93,0.0001,52,41,0,67.1,69.7,57.0,60.0,26,0-0,0,4,4,0,3
156237,388509,Wade Woodaz,clemson-tigers,ACC,CLEMSON,D17,LB,2024,721,0.0011,288,83,350,74.7,69.9,59.5,79.8,132,0-0,0,52,15,14,32
170025,412144,Walt Smith,clemson-tigers,ACC,CLEMSON,D48,CB,2024,4,0.0,1,0,3,51.0,60.0,,52.7,2,0-0,0,0,0,0,0
144132,384742,Zaire Patterson,clemson-tigers,ACC,CLEMSON,D91,ED,2024,26,0.0,9,16,1,60.1,65.0,54.0,60.0,1,0-0,0,1,0,0,1
143855,368342,Aaron Hall,duke-blue-devils,ACC,DUKE,D99,DI,2024,595,0.0009,296,299,0,68.9,62.4,74.6,60.0,179,1-1,2,18,15,3,16
62494,352541,Alex Howard,duke-blue-devils,ACC,DUKE,D03,LB,2024,645,0.001,316,67,262,62.4,56.0,74.5,64.6,157,4-0,0,60,18,16,40
143846,362083,Cameron Bergeron,duke-blue-devils,ACC,DUKE,D04,LB,2024,675,0.001,271,86,318,72.5,84.7,66.2,63.9,127,1-1,0,55,12,13,36
156254,436446,Carter Wyatt,duke-blue-devils,ACC,DUKE,D30,LB,2024,9,0.0,1,1,7,65.5,60.0,59.5,64.8,0,0-0,0,1,0,0,0
156257,386186,Chandler Rivers,duke-blue-devils,ACC,DUKE,D00,CB,2024,922,0.0014,403,31,488,90.7,76.8,90.9,89.8,90,1-0,0,38,18,7,16
98506,348087,Christian Rorie,duke-blue-devils,ACC,DUKE,D96,DI,2024,43,0.0001,21,22,0,65.3,66.1,60.0,,9,0-0,0,2,0,1,1
170060,415606,DaShawn Stone,duke-blue-devils,ACC,DUKE,D08,S,2024,485,0.0007,188,6,291,59.0,64.4,81.5,55.6,49,1-0,0,38,9,10,6
170037,412250,David Anderson,duke-blue-devils,ACC,DUKE,D44,DI,2024,159,0.0002,75,84,0,60.4,55.5,64.3,60.0,36,0-0,0,5,3,1,4
162691,412236,Dawson Andrew,duke-blue-devils,ACC,DUKE,D33,CB,2024,8,0.0,3,2,3,65.3,60.0,57.3,66.1,1,0-0,0,1,1,0,0
189375,428566,Derrick Brown Jr.,duke-blue-devils,ACC,DUKE,D11,LB,2024,6,0.0,1,2,3,47.7,60.0,58.9,49.8,2,0-0,0,1,0,1,0
170036,412232,Desmond Aladuge,duke-blue-devils,ACC,DUKE,D25,DI,2024,96,0.0001,42,54,0,49.3,53.1,53.2,,22,1-0,0,2,2,2,2
106027,340356,Diassa Diakite,duke-blue-devils,ACC,DUKE,D23,CB,2024,25,0.0,8,0,17,64.4,61.1,,64.0,3,1-0,0,0,0,0,0
162705,412257,George Wright,duke-blue-devils,ACC,DUKE,D32,S,2024,1,0.0,1,0,0,60.1,60.0,,,0,0-0,0,0,0,0,0
122374,348371,James Hopson II,duke-blue-devils,ACC,DUKE,10,WR,2024,1,0.0,1,0,0,60.1,60.0,,,0,0-0,0,0,0,0,0
122389,348384,Jaylen Stinson,duke-blue-devils,ACC,DUKE,D02,S,2024,769,0.0011,336,29,404,66.4,43.7,60.6,76.3,82,1-0,0,54,10,10,12
143869,368350,Joshua Pickett,duke-blue-devils,ACC,DUKE,D26,CB,2024,742,0.0011,309,9,424,68.7,59.6,58.6,70.5,79,3-0,0,36,6,16,12
170050,412253,Kendall Johnson,duke-blue-devils,ACC,DUKE,D42,LB,2024,73,0.0001,32,9,32,60.7,63.0,52.6,61.0,15,0-0,0,7,1,2,5
123873,349179,Kendy Charles,duke-blue-devils,ACC,DUKE,D91,DI,2024,579,0.0009,281,297,1,67.9,71.9,62.4,59.7,149,3-0,0,27,16,4,21
170057,431399,Kevin O'Connor,duke-blue-devils,ACC,DUKE,D50,DI,2024,82,0.0001,17,63,2,71.6,63.0,67.7,70.3,18,0-0,0,4,2,2,3
170058,412228,Kimari Robinson,duke-blue-devils,ACC,DUKE,D05,CB,2024,346,0.0005,127,6,213,66.8,66.1,54.3,66.6,37,1-0,0,18,6,4,9
189395,436444,Kobe Smith,duke-blue-devils,ACC,DUKE,D18,ED,2024,7,0.0,0,6,1,72.8,,71.8,60.0,2,0-0,0,0,0,0,0
189378,0,Kyren Condoll,duke-blue-devils,ACC,DUKE,D29,CB,2024,1,0.0,1,0,0,60.0,60.0,,,0,0-0,0,0,0,0,0
189376,428569,Landan Callahan,duke-blue-devils,ACC,DUKE,D21,CB,2024,5,0.0,0,1,4,53.5,,59.8,54.9,1,0-0,0,1,0,1,0
170047,412220,Leon Griffin III,duke-blue-devils,ACC,DUKE,D06,S,2024,26,0.0,9,1,16,54.4,69.3,59.0,47.7,3,0-0,0,2,1,1,0
170056,422392,Luke Mergott,duke-blue-devils,ACC,DUKE,D34,LB,2024,57,0.0001,32,8,17,48.0,43.7,54.3,59.5,15,0-0,0,7,0,0,3
122383,348483,Michael Reese,duke-blue-devils,ACC,DUKE,D14,ED,2024,445,0.0007,211,214,20,64.4,67.3,58.7,58.3,90,0-0,0,28,9,9,23
189396,428660,Montreze Smith,duke-blue-devils,ACC,DUKE,D31,LB,2024,6,0.0,1,1,4,69.2,60.0,59.5,62.1,1,0-0,0,1,0,0,1
