Player Id,Player College GSIS,Name,Unnamed: 7,Conf,Team,#,POS,S,ST,KRET,KCOV,PRET,PCOV,FGBLK,FGXP,ST GRD,KOFF GRD,PUNT GRD,FGXP.1,KEY,PEN,TKL,AST,MT
97230,353565,Marcus Harris,california-golden-bears,ACC,CAL,D05,CB,2024,118,0,39,29,4,44,0,64.3,,,,1,0-0,0,0,0
158330,396661,Mason Starling,california-golden-bears,ACC,CAL,09,WR,2024,4,0,4,0,0,0,0,50.1,,,,2,0-0,0,0,0
174148,407841,Matthew Littlejohn,california-golden-bears,ACC,CAL,D22,S,2024,13,0,0,2,0,11,0,61.0,,,,0,0-0,0,0,0
147018,371994,Matthew Wykoff,california-golden-bears,ACC,CAL,74,G,2024,41,0,0,0,0,0,38,65.1,,,,0,0-0,0,0,0
71443,364238,Mavin Anderson,california-golden-bears,ACC,CAL,11,WR,2024,10,0,0,10,0,0,0,34.5,,,,1,1-0,0,0,0
158313,448173,Mayze Bryant,california-golden-bears,ACC,CAL,D30,S,2024,1,0,1,0,0,0,0,60.0,,,,0,0-0,0,0,0
174168,406493,Mikey Matthews,california-golden-bears,ACC,CAL,08,WR,2024,58,0,1,54,1,0,0,61.6,,69.9,,10,0-0,0,0,0
100382,351956,Miles Williams,california-golden-bears,ACC,CAL,D04,S,2024,156,0,60,48,1,45,0,67.3,,,,5,1-0,2,0,0
146308,391483,Myles Williams,california-golden-bears,ACC,CAL,D92,ED,2024,28,0,15,12,0,1,0,67.5,,,,0,0-0,0,0,0
158314,387626,Nate Burrell,california-golden-bears,ACC,CAL,D98,DI,2024,76,57,0,4,0,15,0,69.2,59.9,,,5,0-0,0,0,0
146301,366906,Nate Rutchena,california-golden-bears,ACC,CAL,42,LB,2024,11,0,0,5,5,0,0,74.8,,,,1,0-0,1,0,0
174222,429986,Nick Morrow,california-golden-bears,ACC,CAL,52,T,2024,65,0,0,0,0,0,59,64.8,,,,0,0-0,0,0,0
128375,350805,Nohl Williams,california-golden-bears,ACC,CAL,D03,CB,2024,150,50,18,33,0,47,0,68.7,65.0,,,13,0-0,1,1,0
176556,429982,Nyziah Hunter,california-golden-bears,ACC,CAL,13,WR,2024,7,0,0,0,1,0,0,60.0,,,,1,0-0,0,0,0
131644,368208,Ricky Correia,california-golden-bears,ACC,CAL,D91,DI,2024,68,0,0,3,40,21,0,55.7,,,,3,1-0,0,1,1
147657,367692,Rush Reimer,california-golden-bears,ACC,CAL,63,G,2024,66,0,0,0,0,0,58,65.7,,,,0,0-0,0,0,0
105283,330603,Ryan Coe,california-golden-bears,ACC,CAL,S40,K,2024,110,0,71,0,0,0,38,63.8,89.2,,65.1,69,0-0,0,0,1
176559,407844,Ryan McCulloch,california-golden-bears,ACC,CAL,D43,ED,2024,92,37,4,10,18,20,0,63.3,59.9,,,7,0-0,1,0,0
172501,407556,Ryan Yaites,california-golden-bears,ACC,CAL,D09,S,2024,227,56,64,44,51,8,0,55.7,,,,12,4-0,1,0,3
175914,430000,Serigne Tounkara,california-golden-bears,ACC,CAL,D18,ED,2024,95,28,12,54,0,1,0,70.6,,,,2,0-0,0,0,0
158334,387691,Sioape Vatikani,california-golden-bears,ACC,CAL,71,G,2024,5,0,0,0,3,0,0,60.2,,,,0,0-0,0,0,0
131656,364244,Stanley Saole-McKenzie,california-golden-bears,ACC,CAL,D94,DI,2024,19,0,0,2,0,16,0,59.0,,,,0,0-0,0,0,0
145165,360992,T.J. Bollers,california-golden-bears,ACC,CAL,D88,DI,2024,105,53,0,5,17,28,0,79.2,,,,3,0-0,0,0,0
102316,362261,T.J. Session,california-golden-bears,ACC,CAL,72,T,2024,42,0,0,0,0,0,37,64.7,,,,0,0-0,0,0,0
142172,353749,Teddye Buchanan,california-golden-bears,ACC,CAL,D10,LB,2024,90,0,11,11,17,48,0,69.6,,,,3,0-0,2,0,0
156980,393481,Tobias Merriweather,california-golden-bears,ACC,CAL,05,WR,2024,3,0,0,0,0,0,0,,,,,0,0-0,0,0,0
158327,399721,Trent Ramsey,california-golden-bears,ACC,CAL,68,G,2024,21,0,0,0,15,0,5,52.8,,,,1,0-0,0,0,1
188182,444073,Trevor Rogers,california-golden-bears,ACC,CAL,19,WR,2024,11,1,0,10,0,0,0,65.1,,,,0,0-0,0,0,0
146290,387641,Trond Grizzell,california-golden-bears,ACC,CAL,83,WR,2024,3,0,0,0,0,0,0,,,,,0,0-0,0,0,0
98528,325264,Victor Stoffel,california-golden-bears,ACC,CAL,78,T,2024,71,0,0,0,0,0,66,60.2,,,,1,1-0,0,0,0
97835,330856,Will McDonald,california-golden-bears,ACC,CAL,66,C,2024,6,0,0,0,0,0,0,,,,,0,0-0,0,0,0
131849,351702,Xavier Carlton,california-golden-bears,ACC,CAL,D44,ED,2024,123,0,0,12,0,41,66,64.5,,,,0,0-0,0,0,0
170011,412127,A.J. Hoffler,clemson-tigers,ACC,CLEMSON,D99,ED,2024,21,0,0,7,0,12,0,61.7,,,,0,0-0,0,0,0
156252,407369,Adam Randall,clemson-tigers,ACC,CLEMSON,08,WR,2024,61,38,0,23,0,0,0,69.2,68.1,,,2,0-0,0,0,0
