Unnamed: 0,season,first_name,last_name,position,origin,origin21%,origin22%,origin23%,originNIL,destination,destination21%,destination22%,destination23%,destinationNIL,transfer_date,rating,stars,eligibility
98,2021.0,Isaiah,Bowser,RB,Northwestern,25.0,8.0,62.0,11772392,UCF,69.0,64.0,46.0,3308993,2021-06-01T00:00:00.000Z,,3.0,Immediate
99,2021.0,Prince,Sammons,OT,Auburn,46.0,42.0,46.0,11588953,none,,,,none,2021-06-01T00:00:00.000Z,,4.0,Immediate
100,2021.0,Ryan,Glover,QB,Pennsylvania,,,,No Data,Western Carolina,,,,No Data,2020-11-23T00:00:00.000Z,,3.0,TBD
101,2021.0,Terence,Dunlap,RB,Troy,42.0,86.0,79.0,386184,Southern,,,,No Data,2021-05-31T00:00:00.000Z,,2.0,Immediate
102,2021.0,Tijaun,Mason,EDGE,Rutgers,38.0,33.0,54.0,3624816,none,,,,none,2021-05-31T00:00:00.000Z,,3.0,Immediate
103,2021.0,Kenney,Solomon,WR,Tennessee,54.0,85.0,69.0,11602164,Tulsa,54.0,42.0,33.0,1471894,2021-05-30T00:00:00.000Z,,3.0,Immediate
104,2021.0,Shawn,Steele,S,Arkansas-Pine Bluff,,,,No Data,South Alabama,42.0,77.0,54.0,479267,2021-05-28T10:13:00.000Z,,0.0,Immediate
105,2021.0,Broc,Thompson,WR,Marshall,54.0,69.0,46.0,1462900,Purdue,69.0,56.99999999999999,33.0,5510579,2021-05-28T00:00:00.000Z,,2.0,Immediate
106,2021.0,Keyshawn,Greene,LB,Nebraska,25.0,33.0,42.0,7973918,Florida Atlantic,42.0,42.0,33.0,1308349,2020-09-04T00:00:00.000Z,,4.0,TBD
107,2021.0,Chad,Brown,S,UCF,69.0,64.0,46.0,3308993,Nevada,62.0,17.0,17.0,2000558,2021-05-27T00:00:00.000Z,,3.0,Immediate
108,2021.0,Brian,Merritt,DL,Houston,86.0,62.0,33.0,2098333,none,,,,none,2021-05-27T00:00:00.000Z,,3.0,Immediate
